('EBAS_VNAME', 'CFNAME', 'MATRIX_NAME')
('acenaphthylene', 'mass_concentration_of_acenaphthylene_in_dry_aerosol_particles_in _air', 'aerosol')
('acetate', 'mass_concentration_of_acetate_in_dry_aerosol_particles_in _air', 'aerosol')
('acidity', None, 'aerosol')
('aerosol_absorption_coefficient', 'volume_absorption_coefficient_in_air_due_to_dried_aerosol_particles', 'aerosol')
('aerosol_extinction_coefficient', 'volume_extinction_coefficient_in_air_due_to_ambient_aerosol_particles', 'aerosol')
('aerosol_light_backscattering_coefficient', 'volume_backwards_scattering_coefficient_in_air_due_to_dried_aerosol_particles', 'aerosol')
('aerosol_light_backscattering_coefficient_zero', None, 'aerosol')
('aerosol_light_rayleighscattering_coefficient_zero', None, 'aerosol')
('aerosol_light_scattering_coefficient', 'volume_scattering_coefficient_in_air_due_to_dried_aerosol_particles', 'aerosol')
('aerosol_light_scattering_coefficient_zero', None, 'aerosol')
('aerosol_optical_depth', 'atmosphere_optical_thickness_due_to_ambient_aerosol_particles', 'aerosol')
('aldrin', 'mass_concentration_of_aldrin_in_dry_aerosol_particles_in _air', 'aerosol')
('alpha_HCH', 'mass_concentration_of_alpha_hexachlorocyclohexane_in_dry_aerosol_particles_in _air', 'aerosol')
('alpha_endosulfan', None, 'aerosol')
('aluminium', 'mass_concentration_of_aluminium_in_dry_aerosol_particles_in _air', 'aerosol')
('aluminium_27', None, 'aerosol')
('ammonium', 'mass_concentration_of_ammonium_expressed_as_nitrogen_in_dry_aerosol_particles_in _air', 'aerosol')
('ammonium_nitrate', 'mass_concentration_of_ammonium_nitrate_in_dry_aerosol_particles_in _air', 'aerosol')
('anthanthrene', 'mass_concentration_of_anthanthrene_in_dry_aerosol_particles_in _air', 'aerosol')
('anthracene', 'mass_concentration_of_anthracene_in_dry_aerosol_particles_in _air', 'aerosol')
('anti_DP', None, 'aerosol')
('antimony', 'mass_concentration_of_antimony_in_dry_aerosol_particles_in _air', 'aerosol')
('arabitol', None, 'aerosol')
('arsenic', 'mass_concentration_of_arsenic_in_dry_aerosol_particles_in _air', 'aerosol')
('attenuation_coefficient', None, 'aerosol')
('barium', 'mass_concentration_of_barium_in_dry_aerosol_particles_in _air', 'aerosol')
('benz_a_anthracene', 'mass_concentration_of_benz_a_anthracene_in_dry_aerosol_particles_in _air', 'aerosol')
('benzo_a_pyrene', 'mass_concentration_of_benzo_a_pyrene_in_dry_aerosol_particles_in _air', 'aerosol')
('benzo_b_fluoranthene', 'mass_concentration_of_benzo_b_fluoranthene_in_dry_aerosol_particles_in _air', 'aerosol')
('benzo_b_naphtho_21_d_thiophene', 'mass_concentration_of_benzo_b_naphtho_21_d_thiophene_in_dry_aerosol_particles_in _air', 'aerosol')
('benzo_bj_fluoranthenes', 'mass_concentration_of_benzo_bj_fluoranthenes_in_dry_aerosol_particles_in _air', 'aerosol')
('benzo_bjk_fluoranthenes', 'mass_concentration_of_benzo_bjk_fluoranthenes_in_dry_aerosol_particles_in _air', 'aerosol')
('benzo_bk_fluoranthenes', None, 'aerosol')
('benzo_c_phenanthrene', 'mass_concentration_of_benzo_c_phenanthrene_in_dry_aerosol_particles_in _air', 'aerosol')
('benzo_e_pyrene', 'mass_concentration_of_benzo_e_pyrene_in_dry_aerosol_particles_in _air', 'aerosol')
('benzo_ghi_perylene', 'mass_concentration_of_benzo_ghi_perylene_in_dry_aerosol_particles_in _air', 'aerosol')
('benzo_j_fluoranthene', 'mass_concentration_of_benzo_j_fluoranthene_in_dry_aerosol_particles_in _air', 'aerosol')
('benzo_k_fluoranthene', 'mass_concentration_of_benzo_k_fluoranthene_in_dry_aerosol_particles_in _air', 'aerosol')
('beryllium', 'mass_concentration_of_beryllium_in_dry_aerosol_particles_in _air', 'aerosol')
('beta_HCH', 'mass_concentration_of_beta_hexachlorocyclohexane_in_dry_aerosol_particles_in _air', 'aerosol')
('beta_endosulfan', None, 'aerosol')
('bismuth', 'mass_concentration_of_bismuth_in_dry_aerosol_particles_in _air', 'aerosol')
('bromide', 'mass_concentration_of_bromide_in_dry_aerosol_particles_in _air', 'aerosol')
('bypass_fraction', None, 'aerosol')
('cadmium', 'mass_concentration_of_cadmium_in_dry_aerosol_particles_in _air', 'aerosol')
('calcium', 'mass_concentration_of_calcium_in_dry_aerosol_particles_in _air', 'aerosol')
('carbonate', 'mass_concentration_of_carbonate_in_dry_aerosol_particles_in _air', 'aerosol')
('cerium', 'mass_concentration_of_cerium_in_dry_aerosol_particles_in _air', 'aerosol')
('cesium', 'mass_concentration_of_cesium_in_dry_aerosol_particles_in _air', 'aerosol')
('chloride', 'mass_concentration_of_chloride_in_dry_aerosol_particles_in _air', 'aerosol')
('cholanthrene', 'mass_concentration_of_cholanthrene_in_dry_aerosol_particles_in _air', 'aerosol')
('chromium', 'mass_concentration_of_chromium_in_dry_aerosol_particles_in _air', 'aerosol')
('chrysene', 'mass_concentration_of_chrysene_in_dry_aerosol_particles_in _air', 'aerosol')
('chrysene_triphenylene', 'mass_concentration_of_chrysene_triphenylene_in_dry_aerosol_particles_in _air', 'aerosol')
('cis_CD', 'mass_concentration_of_cis_chlordane_in_dry_aerosol_particles_in _air', 'aerosol')
('cis_NO', 'mass_concentration_of_cis_nonechlor_in_dry_aerosol_particles_in _air', 'aerosol')
('cloud_condensation_nuclei_number_concentration', 'number_concentration_of_cloud_condensation_nuclei_at_stp_in_air', 'aerosol')
('cobalt', 'mass_concentration_of_cobalt_in_dry_aerosol_particles_in _air', 'aerosol')
('copper', 'mass_concentration_of_copper_in_dry_aerosol_particles_in _air', 'aerosol')
('coronene', 'mass_concentration_of_coronene_in_dry_aerosol_particles_in _air', 'aerosol')
('cyclopenta_cd_pyrene', 'mass_concentration_of_cyclopenta_cd_pyrene_in_dry_aerosol_particles_in _air', 'aerosol')
('dibenzo_ac_ah_anthracenes', 'mass_concentration_of_dibenzo_ac_ah_anthracenes_in_dry_aerosol_particles_in _air', 'aerosol')
('dibenzo_ac_anthracene', 'mass_concentration_of_dibenzo_ac_anthracene_in_dry_aerosol_particles_in _air', 'aerosol')
('dibenzo_ae_pyrene', 'mass_concentration_of_dibenzo_ae_pyrene_in_dry_aerosol_particles_in _air', 'aerosol')
('dibenzo_ah_anthracene', 'mass_concentration_of_dibenzo_ah_anthracene_in_dry_aerosol_particles_in _air', 'aerosol')
('dibenzo_ah_pyrene', 'mass_concentration_of_dibenzo_ah_pyrene_in_dry_aerosol_particles_in _air', 'aerosol')
('dibenzo_ai_pyrene', 'mass_concentration_of_dibenzo_ai_pyrene_in_dry_aerosol_particles_in _air', 'aerosol')
('dibenzo_al_pyrene', 'mass_concentration_of_dibenzo_al_pyrene_in_dry_aerosol_particles_in _air', 'aerosol')
('dibenzothiophene', 'mass_concentration_of_dibenzothiophene_in_dry_aerosol_particles_in _air', 'aerosol')
('dieldrin', 'mass_concentration_of_dieldrin_in_dry_aerosol_particles_in _air', 'aerosol')
('dysprosium', 'mass_concentration_of_dysprosium_in_dry_aerosol_particles_in _air', 'aerosol')
('elemental_carbon', 'mass_concentration_of_elemental_carbon_expressed_as_carbon_in_dry_aerosol_particles_in _air', 'aerosol')
('endosulfan', 'mass_concentration_of_endosulfan_in_dry_aerosol_particles_in _air', 'aerosol')
('endrin', 'mass_concentration_of_endrin_in_dry_aerosol_particles_in _air', 'aerosol')
('equivalent_black_carbon', 'mass_concentration_of_equivalent_black_carbon_in_dry_aerosol_particles_in _air', 'aerosol')
('equivalent_black_carbon_mass', 'mass_concentration_of_equivalent_black_carbon_in_dry_aerosol_particles_in _air', 'aerosol')
('erbium', 'mass_concentration_of_erbium_in_dry_aerosol_particles_in _air', 'aerosol')
('erythritol', None, 'aerosol')
